var,var_type
mdd_to_index_days,continuous
age_at_index_years,continuous
index_year,continuous
Sex_male,binary
Race_Ethnicity_white,binary
T2DM_with_Complications,binary
Obesity,binary
Bariatric_Surgery,binary
ADHD,binary
Agoraphobia,binary
Anxiety_Disorder_NOS,binary
Generalized_Anxiety,binary
OCD,binary
Panic_Disorder,binary
PTSD,binary
Social_Anxiety_Disorder,binary
Alcohol_Abuse,binary
Alcohol_Dependence,binary
Cannabis_Abuse,binary
Cannabis_Dependence,binary
Cocaine_Abuse,binary
Cocaine_Dependence,binary
Opioid_Abuse,binary
Opioid_Dependence,binary
Sedative_Abuse,binary
Sedative_Dependence,binary
Tobacco_Use_Disorder,binary
Hypertension,binary
Hypercholesterolemia,binary
Hyperlipidemia,binary
Heart_Disease,binary
Stroke,binary
Diseases_of_the_Arteries_Artrioles_and_Capillaries,binary
Antidepressant_Use,binary
AvgYearlyEncounters,continuous
AvgYearlyOutpatientEncounters,continuous
AvgYearlyPatientPsychVisits,continuous